Mandante,Visitante
Atlético Mineiro Saf,Bahia
Atlético Mineiro Saf,Flamengo
Atlético Mineiro Saf,Palmeiras
Atlético Mineiro Saf,Vasco da Gama S.a.f.
Bahia,Fortaleza Ec Saf
Bahia,Sport Recife
Bahia,Vasco da Gama S.a.f.
Botafogo,Fortaleza Ec Saf
Botafogo,Grêmio
Botafogo,Sport Recife
Botafogo,Vasco da Gama S.a.f.
Ceará,Cruzeiro Saf
Ceará,Fortaleza Ec Saf
Ceará,Internacional
Ceará,Palmeiras
Corinthians,Botafogo
Corinthians,Ceará
Corinthians,Juventude
Corinthians,São Paulo
Cruzeiro Saf,Botafogo
Cruzeiro Saf,Corinthians
Cruzeiro Saf,Fluminense
Flamengo,Ceará
Flamengo,Red Bull Bragantino
Flamengo,Santos Fc
Fluminense,Bahia
Fluminense,Flamengo
Fluminense,Mirassol
Fluminense,São Paulo
Fortaleza Ec Saf,Corinthians
Fortaleza Ec Saf,Grêmio
Grêmio,Cruzeiro Saf
Grêmio,Fluminense
Grêmio,Palmeiras
Grêmio,Vasco da Gama S.a.f.
Internacional,Bahia
Internacional,Red Bull Bragantino
Internacional,Santos Fc
Juventude,Bahia
Juventude,Cruzeiro Saf
Juventude,Santos Fc
Mirassol,Ceará
Mirassol,Flamengo
Mirassol,Palmeiras
Palmeiras,Fluminense
Palmeiras,Vitória
Red Bull Bragantino,Atlético Mineiro Saf
Red Bull Bragantino,Corinthians
Red Bull Bragantino,Fortaleza Ec Saf
Red Bull Bragantino,Vitória
Santos Fc,Cruzeiro Saf
Santos Fc,Mirassol
Santos Fc,Sport Recife
Sport Recife,Atlético Mineiro Saf
Sport Recife,Flamengo
Sport Recife,Grêmio
Sport Recife,Juventude
Sport Recife,Vitória
São Paulo,Flamengo
São Paulo,Internacional
São Paulo,Juventude
São Paulo,Red Bull Bragantino
Vasco da Gama S.a.f.,Internacional
Vasco da Gama S.a.f.,Juventude
Vasco da Gama S.a.f.,Mirassol
Vitória,Botafogo
Vitória,Internacional
Vitória,Mirassol
Vitória,São Paulo
