Posição,Time,P,J,V,E,D,GP,GC,SG
1,Palmeiras,65,30,20,5,5,55,26,29
2,Flamengo,64,30,19,7,4,59,16,43
3,Cruzeiro Saf,60,31,17,9,5,45,22,23
4,Mirassol,56,31,15,11,5,52,31,21
5,Bahia,52,31,15,7,9,42,35,7
6,Botafogo,48,31,13,9,9,41,28,13
7,Fluminense,47,31,14,5,12,37,37,0
8,São Paulo,44,31,12,8,11,35,33,2
9,Vasco da Gama S.a.f.,42,31,12,6,13,49,43,6
10,Corinthians,42,31,11,9,11,34,35,-1
11,Grêmio,39,31,10,9,12,33,40,-7
12,Ceará,38,31,10,8,13,29,29,0
13,Atlético Mineiro Saf,37,30,9,10,11,27,32,-5
14,Red Bull Bragantino,36,31,10,6,15,35,49,-14
15,Internacional,36,31,9,9,13,35,43,-8
16,Santos Fc,33,30,8,9,13,31,43,-12
17,Vitória,31,31,7,10,14,28,47,-19
18,Fortaleza Ec Saf,28,30,7,7,16,28,45,-17
19,Juventude,26,31,7,5,19,24,58,-34
20,Sport Recife,17,30,2,11,17,22,49,-27
