ano,tipo,posicao,time,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo
2024,Previsão,1,Botafogo,98,31,5,2,33,4,29
2024,Previsão,2,Flamengo,94,30,4,4,31,5,26
2024,Previsão,3,Palmeiras,88,27,7,4,27,4,23
2024,Previsão,4,Internacional,79,25,4,9,26,10,16
2024,Previsão,5,São Paulo,77,23,8,7,24,8,16
2024,Previsão,6,Cruzeiro,72,22,6,10,24,12,12
2024,Previsão,7,Fortaleza,70,21,7,10,22,11,11
2024,Previsão,8,Bahia,66,19,9,10,20,11,9
2024,Previsão,9,Atlético Mineiro,56,17,5,16,17,16,1
2024,Previsão,10,Athletico Paranaense,56,15,11,12,18,12,6
2024,Previsão,11,Red Bull Bragantino,51,13,12,13,15,15,0
2024,Previsão,12,Corinthians,39,11,6,21,11,21,-10
2024,Previsão,13,Vasco da Gama,38,10,8,20,11,21,-10
2024,Previsão,14,Criciúma,36,8,12,18,9,19,-10
2024,Previsão,15,Juventude,35,9,8,21,10,22,-12
2024,Previsão,16,Grêmio,29,8,5,25,9,26,-17
2024,Previsão,17,Fluminense,27,7,6,25,9,27,-18
2024,Previsão,18,Cuiabá,26,7,5,26,7,29,-22
2024,Previsão,19,Vitória,25,6,7,25,6,25,-19
2024,Previsão,20,Atlético Goianiense,8,1,5,32,2,33,-31
